Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Transaction Date
TXN_1961373,coffee,2.0,2.0,4.0,2023-09-08
TXN_4977031,cake,4.0,3.0,12.0,2023-05-16
TXN_4271903,cookie,4.0,1.0,8.0,2023-07-19
TXN_7034554,salad,2.0,5.0,10.0,2023-04-27
TXN_3160411,coffee,2.0,2.0,4.0,2023-06-11
TXN_2602893,smoothie,5.0,4.0,20.0,2023-03-31
TXN_4433211,unknown,3.0,3.0,9.0,2023-10-06
TXN_6699534,sandwich,4.0,4.0,16.0,2023-10-28
TXN_4717867,juice,5.0,3.0,15.0,2023-07-28
TXN_2064365,sandwich,5.0,4.0,20.0,2023-12-31
TXN_3051279,sandwich,2.0,4.0,8.0,2023-02-06
TXN_7619095,sandwich,2.0,4.0,8.0,2023-05-03
TXN_9437049,cookie,5.0,1.0,5.0,2023-06-01
TXN_8915701,error,2.0,1.5,3.0,2023-03-21
TXN_2847255,salad,3.0,5.0,15.0,2023-11-15
TXN_3765707,sandwich,1.0,4.0,4.0,2023-06-10
TXN_6769710,juice,2.0,3.0,6.0,2023-02-24
TXN_8876618,cake,5.0,3.0,15.0,2023-03-25
TXN_3709394,juice,4.0,3.0,12.0,2023-01-15
TXN_3522028,smoothie,3.0,4.0,20.0,2023-04-04
TXN_3567645,smoothie,4.0,4.0,16.0,2023-03-30
TXN_5132361,sandwich,3.0,4.0,12.0,2023-12-01
TXN_2616390,sandwich,2.0,4.0,8.0,2023-09-18
TXN_9400181,sandwich,5.0,4.0,20.0,2023-06-03
TXN_7958992,smoothie,3.0,4.0,8.0,2023-12-13
TXN_5183041,cookie,5.0,1.0,5.0,2023-04-20
TXN_5695074,juice,4.0,3.0,12.0,2023-04-10
TXN_8467949,smoothie,5.0,4.0,20.0,2023-03-11
TXN_7640952,cake,4.0,3.0,12.0,2023-02-06
TXN_1736287,juice,5.0,2.0,10.0,2023-06-02
TXN_8927252,unknown,2.0,1.0,8.0,2023-11-06
TXN_9677376,smoothie,4.0,4.0,16.0,2023-08-15
TXN_7710508,unknown,5.0,1.0,5.0,2023-02-06
TXN_8853997,smoothie,2.0,4.0,8.0,2023-10-09
TXN_9130559,sandwich,1.0,4.0,4.0,2023-05-28
TXN_6855453,unknown,4.0,3.0,12.0,2023-07-17
TXN_1080432,salad,2.0,5.0,10.0,2023-04-29
TXN_2655815,smoothie,4.0,4.0,16.0,2023-06-08
TXN_6688524,coffee,4.0,2.0,8.0,2023-06-29
TXN_2083138,smoothie,3.0,4.0,12.0,2023-04-17
TXN_2427584,sandwich,4.0,4.0,16.0,2023-12-22
TXN_6650263,tea,2.0,1.5,8.0,2023-01-10
TXN_9620080,juice,4.0,3.0,12.0,2023-10-02
TXN_1491578,cookie,2.0,1.0,2.0,2023-02-23
TXN_5455792,salad,3.0,5.0,15.0,2023-03-22
TXN_8078640,juice,4.0,3.0,12.0,2023-11-03
TXN_9499313,juice,5.0,3.0,15.0,2023-03-02
TXN_8201146,juice,5.0,3.0,15.0,2023-06-26
TXN_8230936,cake,3.0,3.0,9.0,2023-05-02
TXN_7742742,cake,5.0,3.0,15.0,2023-09-05
TXN_3363746,smoothie,3.0,4.0,12.0,2023-11-25
TXN_8614868,smoothie,5.0,4.0,20.0,2023-12-05
TXN_5522862,cookie,3.0,1.0,2.0,2023-03-19
TXN_3578141,cake,5.0,3.0,15.0,2023-06-27
TXN_2080895,cake,3.0,3.0,3.0,2023-04-19
TXN_6421134,sandwich,4.0,4.0,16.0,2023-11-03
TXN_8813311,juice,5.0,3.0,15.0,2023-10-07
TXN_9023317,salad,1.0,5.0,5.0,2023-09-30
TXN_8051289,juice,1.0,3.0,3.0,2023-10-09
TXN_2537617,sandwich,1.0,4.0,4.0,2023-05-27
TXN_9099694,unknown,3.0,5.0,15.0,2023-11-18
TXN_9230615,smoothie,4.0,4.0,16.0,2023-06-01
TXN_4987129,sandwich,3.0,3.0,8.0,2023-10-20
TXN_8501819,juice,3.0,3.0,6.0,2023-03-30
TXN_3068204,cookie,1.0,1.0,1.0,2023-10-03
TXN_8427104,salad,2.0,3.0,10.0,2023-10-27
TXN_8471743,error,5.0,3.0,15.0,2023-04-06
TXN_2621580,tea,2.0,1.5,3.0,2023-03-22
TXN_4726376,cake,2.0,3.0,6.0,2023-01-31
TXN_6044979,juice,1.0,1.0,1.0,2023-12-08
TXN_4238417,salad,2.0,5.0,10.0,2023-06-19
TXN_1900620,smoothie,2.0,4.0,8.0,2023-12-14
TXN_6420335,coffee,1.0,2.0,2.0,2023-07-16
TXN_3858209,sandwich,4.0,4.0,16.0,2023-02-22
TXN_2091733,salad,1.0,5.0,5.0,2023-02-06
TXN_8735480,tea,5.0,1.5,7.5,2023-06-02
TXN_3829165,juice,4.0,3.0,12.0,2023-06-15
TXN_3748616,coffee,2.0,2.0,4.0,2023-12-09
TXN_1993289,sandwich,2.0,4.0,8.0,2023-04-18
TXN_2123367,cookie,2.0,1.0,2.0,2023-11-07
TXN_5266394,cake,3.0,3.0,9.0,2023-10-28
TXN_5107946,cake,4.0,3.0,12.0,2023-12-22
TXN_8035512,tea,3.0,3.0,4.5,2023-10-29
TXN_8718498,cake,5.0,3.0,15.0,2023-04-30
TXN_3955361,cookie,5.0,1.0,5.0,2023-04-02
TXN_9487821,error,1.0,5.0,5.0,2023-05-24
TXN_4132730,juice,5.0,1.0,5.0,2023-03-12
TXN_8976658,tea,2.0,1.5,3.0,2023-08-16
TXN_5455936,unknown,5.0,3.0,15.0,2023-10-28
TXN_2725602,juice,5.0,3.0,15.0,2023-09-10
TXN_3011323,coffee,3.0,2.0,6.0,2023-03-07
TXN_6289610,juice,3.0,3.0,8.0,2023-08-07
TXN_8268061,salad,3.0,5.0,15.0,2023-08-20
TXN_3085509,coffee,4.0,2.0,8.0,2023-04-15
TXN_9999113,juice,4.0,3.0,12.0,2023-05-27
TXN_8779771,coffee,4.0,2.0,8.0,2023-07-25
TXN_1621920,salad,3.0,5.0,15.0,2023-10-28
TXN_3808639,juice,2.0,3.0,6.0,2023-12-15
TXN_7028009,cake,4.0,3.0,12.0,2023-02-06
TXN_7447872,juice,2.0,3.0,6.0,2023-02-06
TXN_6955416,salad,4.0,5.0,20.0,2023-02-25
TXN_3775339,cookie,3.0,1.0,3.0,2023-04-03
TXN_9547091,cookie,3.0,1.0,3.0,2023-10-08
TXN_4358673,cookie,5.0,1.0,5.0,2023-12-28
TXN_4174591,tea,4.0,1.5,6.0,2023-08-30
TXN_3398520,sandwich,1.0,4.0,4.0,2023-02-03
TXN_6171384,smoothie,2.0,4.0,8.0,2023-09-12
TXN_2530938,smoothie,5.0,4.0,20.0,2023-04-27
TXN_3314971,juice,3.0,3.0,9.0,2023-05-04
TXN_3092382,coffee,5.0,2.0,10.0,2023-02-21
TXN_1001832,salad,2.0,5.0,10.0,2023-02-06
TXN_1535311,juice,3.0,3.0,9.0,2023-03-16
TXN_2148617,juice,3.0,3.0,9.0,2023-01-10
TXN_4633784,error,5.0,3.0,15.0,2023-02-06
TXN_4368416,salad,2.0,5.0,10.0,2023-02-24
TXN_9790731,cake,2.0,3.0,6.0,2023-06-02
TXN_9339456,coffee,3.0,2.0,6.0,2023-03-29
TXN_5179020,cake,2.0,3.0,6.0,2023-06-18
TXN_6258471,coffee,5.0,2.0,10.0,2023-09-23
TXN_7945375,juice,3.0,3.0,9.0,2023-01-14
TXN_4685453,tea,4.0,1.5,6.0,2023-09-14
TXN_9646452,juice,5.0,3.0,15.0,2023-09-16
TXN_9096052,smoothie,4.0,4.0,16.0,2023-12-28
TXN_5916991,juice,2.0,3.0,6.0,2023-02-06
TXN_3407169,sandwich,2.0,4.0,8.0,2023-03-11
TXN_2277042,tea,1.0,1.5,1.5,2023-04-08
TXN_9273729,tea,1.0,1.5,1.5,2023-12-19
TXN_2181545,juice,4.0,3.0,12.0,2023-07-14
TXN_1150033,juice,5.0,3.0,15.0,2023-04-18
TXN_1443912,juice,2.0,3.0,6.0,2023-06-08
TXN_8700451,tea,5.0,1.5,7.5,2023-12-12
TXN_6380550,coffee,5.0,2.0,10.0,2023-01-05
TXN_4885518,salad,3.0,5.0,15.0,2023-06-10
TXN_3972167,sandwich,5.0,4.0,20.0,2023-01-23
